Date,oc,pos,turnover,gross,net
2014-07-24 20:00:00-04:00,0.0038164957914494924,0.0,0.0,0.0,0.0
2014-07-27 20:00:00-04:00,0.0025418131970793567,0.0,0.0,0.0,0.0
2014-07-28 20:00:00-04:00,-0.00706058201320392,0.0,0.0,-0.0,-0.0
2014-07-29 20:00:00-04:00,0.03154286702928388,0.0,0.0,0.0,0.0
2014-07-30 20:00:00-04:00,-0.025996671998690157,0.32200201904294956,0.32200201904294956,-0.008370980871975542,-0.008757383294827082
2014-07-31 20:00:00-04:00,0.0317572398880166,0.0,0.32200201904294956,0.0,-0.0003864024228515394
2014-08-03 20:00:00-04:00,0.017663625207202216,0.335935352317374,0.335935352317374,0.0059338361571835245,0.005530713734402675
2014-08-04 20:00:00-04:00,0.004295269330368612,0.3450481286297825,0.009112776312408533,0.0014820746444045886,0.0014711393128296983
2014-08-05 20:00:00-04:00,0.04198404330072458,0.34512458333825025,7.64547084677325e-05,0.014489725451017628,0.014489633705367466
2014-08-06 20:00:00-04:00,0.009075614641774976,0.31261458696803507,0.03250999637021518,0.0028371695227195357,0.0027981575270752774
2014-08-07 20:00:00-04:00,-0.012064003258805078,0.3128667629613588,0.0002521759933237222,-0.0037744256479376286,-0.003774728259129617
2014-08-10 20:00:00-04:00,0.015030561589433278,0.3122999024659217,0.0005668604954370826,0.004694042918388042,0.004693362685793517
2014-08-11 20:00:00-04:00,0.007284589077162673,0.32406524426883465,0.011765341802912943,0.0023606821386888063,0.0023465637285253107
2014-08-12 20:00:00-04:00,-0.006488268669947006,0.3602974238201039,0.03623217955126923,-0.002337706486834598,-0.002381185102296121
2014-08-13 20:00:00-04:00,-0.004228698735325165,0.38044129358469153,0.020143869764587652,-0.0016087716170470549,-0.00163294426076456
2014-08-14 20:00:00-04:00,0.002026940972415181,0.3798654386226876,0.0005758549620039077,0.0007699648215487898,0.0007692737955943851
2014-08-17 20:00:00-04:00,-0.012573612248939159,0.384420367668511,0.004554929045823386,-0.004833552643658485,-0.004839018558513473
2014-08-18 20:00:00-04:00,-0.008150826654076293,0.3755883097616411,0.008832057906869917,-0.0030613552061646474,-0.0030719536756528914
2014-08-19 20:00:00-04:00,0.004083644727627123,0.3794396720203607,0.003851362258719626,0.0015494968160985106,0.0015448751813880472
2014-08-20 20:00:00-04:00,-0.008498415797236314,0.3808571905125228,0.0014175184921620954,-0.003236682764342664,-0.0032383837865332587
2014-08-21 20:00:00-04:00,0.008800224979312876,0.3751402544613655,0.005716936051157306,0.0033013186380566975,0.003294458314795309
2014-08-24 20:00:00-04:00,0.01688667218134854,0.37448533023723946,0.0006549242241260522,0.006323811008440312,0.006323025099371361
2014-08-25 20:00:00-04:00,-0.012227315827445517,0.3697752484260949,0.004710081811144573,-0.004521358747677988,-0.004527010845851361
